番号,カテゴリ,事業者名/屋号,エリア,Instagramアカウント,フォロワー数(目安),活動内容,子ども向け活動,DM優先度,DMバリエーション,備考/アプローチポイント
11,料理・食・シェフ,お菓子教室 スイートリボン,江東区冬木,要調査（Instagram等で発信中）,要確認,1DAYレッスンなど多様なコースのお菓子教室,不明,中,A（料理・ものづくり系）,1DAYレッスン形式がitoitoの単発体験モデルに合う
12,職人・ものづくり,すみだ江戸切子館,墨田区,@sumida_edokirikokan,要確認,江戸切子の工房ショップ。見学・体験・購入が可能。伝統工芸,あり（体験教室として提供中）,最高,B（アート・表現系）,既に体験提供中で参入ハードルが低い。伝統工芸×子ども体験は訴求力大
13,職人・ものづくり,HIS-FACTORY（ヒズファクトリー）,墨田区（スカイツリー徒歩5分）,要調査,要確認,革職人の工房ショップ。立体小銭入れ作り体験（40分）。革の知識も学べる,あり（体験メニューとして提供中）,最高,B（アート・表現系）,40分で完結する体験メニューが既にある。スカイツリー近くで集客しやすい
14,職人・ものづくり,アトリエ アミーチ,墨田区,要調査,要確認,戦前から墨田区で鞄問屋を営む。工房2階で革クラフト教室。体験コース（2〜3時間）あり,あり（体験コース提供中）,高,B（アート・表現系）,戦前からの歴史で信頼性抜群。2〜3時間コースがitoitoの体験枠に最適
15,職人・ものづくり,大関鞄工房,墨田区両国,要調査,要確認,両国駅近く。親子で参加できる革ワークショップ。好きな素材・色・飾りを選べる,あり（親子ワークショップ実施中）,最高,B（アート・表現系）,親子ワークショップが既にある！最優先候補。オリジナルポーチ作り
16,職人・ものづくり,革倶楽,墨田区両国,要調査,要確認,JR両国駅徒歩7分。工房ショップで革製品の手作り体験。ブレスレット作りなど,あり（手作り体験として提供中）,高,B（アート・表現系）,駅近でアクセス良好。ブレスレット作りは子どもにも人気
17,職人・ものづくり,硝子企画舎 キルンワークグラススタジオ,墨田区錦糸町,要調査,要確認,キルンワーク・サンドブラストなどガラス工芸体験。錦糸町駅近く,要確認,中,B（アート・表現系）,ガラス工芸は見た目のインパクト大。SNS映えする体験
18,職人・ものづくり,ガラス工房ZO,墨田区,要調査,要確認,吹きガラス体験・とんぼ玉体験。初心者向け,要確認（初心者OK）,中,B（アート・表現系）,初心者OKなので子ども対応の余地あり。吹きガラスは体験価値が高い
19,職人・ものづくり,アトリエ・エリン,江東区門前仲町,要調査（公式: atelier-elin.com）,要確認,子ども向けアート教室。油絵を中心に制作活動,あり（子ども向け専門）,最高,B（アート・表現系）,子ども向け専門アート教室。門前仲町は江東区の中心。油絵体験は本格的
20,職人・ものづくり,あとりえおひさま,墨田区/江東区境界,要調査（公式: atelier-ohisama.com）,要確認,子ども美術教室。絵画・造形指導,あり（子ども専門）,高,B（アート・表現系）,子ども専門美術教室。墨田区/江東区の境目でエリアマッチ
21,職人・ものづくり,Rainbow Art（レインボーアート）,江戸川区/江東区豊洲,要調査（公式: blissfulconnections.jp）,要確認,絵画教室。江戸川区と江東区豊洲に展開,要確認,中,B（アート・表現系）,2エリアに展開で守備範囲が広い
22,職人・ものづくり,デザイン事務所がひらく絵画教室,江東区,要調査（公式: en.designroom.me）,要確認,デザイン事務所が運営する絵画教室。プロのデザイナーが指導,要確認,中,B（アート・表現系）,デザイン事務所運営でプロの指導。「教科書にない学び」のコンセプトに合う
23,職人・ものづくり,深川美術 絵画教室,江東区,要調査,要確認,美術の基礎から応用まで。少人数制。小学生〜一般向け,あり（小学生クラスあり）,中,B（アート・表現系）,小学生クラスあり。少人数制がitoitoのモデルに合う
24,教師・教育・自然体験,あ・たそか・もきゅ,江戸川区,要調査（公式: peraichi掲載）,要確認,小学生・親子向けワークショップ。身体表現・アート・アップサイクル。毎回テーマが変わる,あり（親子・小学生専門）,最高,C（探究・学び系）,親子専門ワークショップ。身体表現+アート+アップサイクルの組み合わせがユニーク
25,教師・教育・自然体験,プログラボ東陽町,江東区東陽町,要調査（公式: proglab.education）,要確認,子ども向けロボットプログラミング教室。幼稚園〜中学生対象。東陽町駅徒歩4分,あり（子ども専門）,中,C（探究・学び系）,教室型なのでitoitoとの棲み分けを提案。単発プログラミング体験として
26,教師・教育・自然体験,プログラボ曳舟,墨田区曳舟,要調査（公式: proglab.education）,要確認,子ども向けロボットプログラミング教室。幼稚園〜中学生対象,あり（子ども専門）,中,C（探究・学び系）,墨田区エリアのプログラミング教室。ロボット体験は男子に人気
27,教師・教育・自然体験,TOMASサイエンス教室（錦糸町/門前仲町）,墨田区/江東区,要調査（公式: tomas.co.jp/science）,要確認,無料の科学実験イベント。錦糸町校・門前仲町校で開催,あり（子ども向け無料イベント）,中,C（探究・学び系）,無料イベント型で手数料モデルとは異なるが連携の可能性
28,教師・教育・自然体験,こども美術教室がじゅく,東京12教室（エリア内教室あり）,要調査（公式: gajyuku.com）,要確認,絵画・造形・図工の実技指導。ブログ・SNSで授業報告。12教室展開,あり（子ども専門）,高,C（探究・学び系）,12教室展開の実績。ブログ・SNS発信力あり。単発ワークショップとして連携
29,教師・教育・自然体験,かけるアート（×art）,東京（エリア確認要）,要調査（公式: kakeruart.com）,要確認,アート体験教室。体験型のプログラムを提供,あり（体験教室として）,中,C（探究・学び系）,体験型アート教室。itoitoとの協業モデルを提案
30,教師・教育・自然体験,Park Community KIBACO,江東区木場公園,要調査（@kibaco.event）,要確認,マルシェ併設カフェ。ワークショップ定期開催（陶芸等）。キッズメニュー・スペースあり,あり（ワークショップ＋キッズスペース）,高,C（探究・学び系）,木場公園内で子連れに最適。ワークショップ実績あり。場所としても体験開催に使える
31,教師・教育・自然体験,墨田区 夏休み自然体験教室,墨田区（山形県での体験）,要調査（区の事業）,N/A,区内小5-6年生対象。山形県高畠町でホームステイ＋農山村体験,あり（小学生対象の自然体験）,低,C（探究・学び系）,区の事業なので直接連携は難しいが、関わるスタッフ・ガイドへのアプローチに活用
32,教師・教育・自然体験,Cafe Polaris,清澄白河（江東区）,@cafe.polaris_,要確認,清澄白河のカフェ。イベント・ワークショップ開催実績あり,不明（場所提供の可能性）,低,C（探究・学び系）,体験の会場として活用できる可能性。カフェ×ワークショップの相性
33,教師・教育・自然体験,シェア畑（江東区・江戸川区エリア）,江東区/江戸川区,要調査（公式: sharebatake.com）,要確認,都市型の貸し農園。種・苗・肥料・道具・水・アドバイザー付き,あり（家族での農業体験可能）,中,C（探究・学び系）,農業体験をitoitoの体験として切り出す提案。アドバイザーをホスト候補に
34,教師・教育・自然体験,iiba（子育て世帯向けおでかけアプリ）,東京全域,@iiba_official,要確認,子育て世帯向けおでかけマップアプリ。口コミ1.5万件。公園・体験施設情報,あり（子育てプラットフォーム）,中,N/A（連携候補）,DMではなくビジネス連携候補。口コミ1.5万件のプラットフォームと相互送客
35,教師・教育・自然体験,コドモブースター,東京全域,要調査,要確認,子ども向け習い事教室検索サイト。8.2万教室掲載。口コミ付き,あり（子ども教室プラットフォーム）,中,N/A（掲載候補）,itoitoの体験を掲載できないか検討。保護者リーチに有効
